level,rule,order_count,revenue
2,Service=Steam_Ironing and Store_Name=BANASWADI,113.0,26948.0
2,Service=Steam_Ironing and Store_Name=DOMLUR,860.0,200261.0
2,Service=Steam_Ironing and Store_Name=HSR,256.0,63758.0
2,Service=Steam_Ironing and Store_Name=SARJAPUR,97.0,21179.0
2,Service=Wash_&_Iron_(Kg_Basis) and Does_delivery_charge_exist=N,205.0,61164.0
2,Service=Wash_&_Iron_(Kg_Basis) and Payment_Mode=Online,763.0,329481.0
2,Service=Wash_&_Iron_(Kg_Basis) and Does_delivery_charge_exist=Y,590.0,283932.0
2,Service=Wash_&_Iron_(Kg_Basis) and Payment_Mode=Cash_to_store,24.0,12375.0
2,Service=Wash_&_Iron_(Kg_Basis) and Total_Garment_bucket=bucket_1,40.0,5022.0
2,Service=Wash_&_Iron_(Kg_Basis) and Total_Garment_bucket=bucket_2,211.0,45009.0
2,Service=Wash_&_Iron_(Kg_Basis) and Total_Garment_bucket=bucket_3,240.0,80847.0
2,Service=Wash_&_Iron_(Kg_Basis) and Total_Garment_bucket=bucket_5,143.0,132390.0
2,Service=Wash_&_Iron_(Kg_Basis) and amount_bd_bin=bucket_2,240.0,76923.0
2,Service=Wash_&_Iron_(Kg_Basis) and Does_pickup_charge_exist=N,203.0,60021.0
2,Service=Wash_&_Iron_(Kg_Basis) and amount_bd_bin=bucket_4,120.0,100440.0
2,Service=Wash_&_Iron_(Kg_Basis) and amount_bd_bin=bucket_3,169.0,85599.0
2,Service=Wash_&_Iron_(Kg_Basis) and amount_bd_bin=bucket_5,26.0,39465.0
2,Service=Wash_&_Iron_(Kg_Basis) and Total_Garment_bucket=bucket_4,161.0,81828.0
